timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768938296250,2271,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-833,,true,,92,234,705,705,http://localhost:8080/api/v1/pautas/1697/votos,2271,0,0
1768938295927,2594,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-486,,true,,92,234,705,705,http://localhost:8080/api/v1/pautas/1495/votos,2594,0,1
1768938296137,2385,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-776,,true,,92,234,705,705,http://localhost:8080/api/v1/pautas/1657/votos,2385,0,1
1768938296916,1606,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-54,text,true,,190,139,705,705,http://localhost:8080/api/v1/pautas/1118/resultado,1606,0,1
1768938296291,2243,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-686,,true,,92,234,705,705,http://localhost:8080/api/v1/pautas/1711/votos,2243,0,0
1768938296114,2420,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-439,,true,,92,234,705,705,http://localhost:8080/api/v1/pautas/1556/votos,2420,0,0
1768938296138,2397,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-668,,true,,92,234,705,705,http://localhost:8080/api/v1/pautas/1563/votos,2397,0,1
1768938296115,2423,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-543,,true,,92,234,700,700,http://localhost:8080/api/v1/pautas/1558/votos,2423,0,1
1768938295889,2649,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-579,,true,,92,234,700,700,http://localhost:8080/api/v1/pautas/1485/votos,2649,0,1
1768938296061,2479,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-506,,true,,92,234,700,700,http://localhost:8080/api/v1/pautas/1528/votos,2479,0,1
